Data,Quantidade de leitos UTI Neonatal
12/01/2022,2
13/01/2022,2
14/01/2022,2
15/01/2022,3
16/01/2022,3
17/01/2022,3
18/01/2022,3
19/01/2022,3
20/01/2022,3
21/01/2022,3
22/01/2022,3
23/01/2022,3
24/01/2022,3
25/01/2022,3
26/01/2022,3
27/01/2022,3
28/01/2022,3
29/01/2022,3
30/01/2022,3
31/01/2022,3
01/02/2022,3
02/02/2022,3
03/02/2022,3
04/02/2022,3
05/02/2022,3
06/02/2022,3
07/02/2022,3
08/02/2022,3
09/02/2022,3
10/02/2022,3
11/02/2022,3
12/02/2022,3
13/02/2022,3
14/02/2022,3
15/02/2022,3
16/02/2022,3
17/02/2022,3
18/02/2022,3
19/02/2022,3
20/02/2022,3
21/02/2022,3
22/02/2022,3
23/02/2022,3
24/02/2022,3
25/02/2022,3
26/02/2022,3
27/02/2022,3
28/02/2022,3
01/03/2022,3
02/03/2022,5
03/03/2022,5
04/03/2022,5
05/03/2022,5
06/03/2022,5
07/03/2022,5
08/03/2022,5
09/03/2022,5
10/03/2022,5
11/03/2022,5
12/03/2022,5
13/03/2022,5
14/03/2022,5
15/03/2022,5
16/03/2022,5
17/03/2022,5
18/03/2022,5
19/03/2022,5
20/03/2022,5
21/03/2022,5
22/03/2022,5
23/03/2022,5
24/03/2022,5
25/03/2022,5
26/03/2022,5
27/03/2022,5
28/03/2022,5
29/03/2022,5
30/03/2022,5
31/03/2022,5
01/04/2022,5
02/04/2022,5
03/04/2022,5
04/04/2022,5
05/04/2022,5
06/04/2022,5
07/04/2022,5
08/04/2022,5
09/04/2022,5
10/04/2022,5
11/04/2022,5
12/04/2022,5
13/04/2022,5
14/04/2022,5
15/04/2022,5
16/04/2022,5
17/04/2022,5
18/04/2022,5
19/04/2022,5
20/04/2022,5
21/04/2022,5
22/04/2022,5
23/04/2022,5
24/04/2022,5
25/04/2022,5
26/04/2022,5
27/04/2022,5
28/04/2022,5
29/04/2022,5
30/04/2022,5
01/05/2022,5
02/05/2022,5
03/05/2022,5
04/05/2022,5
05/05/2022,5
06/05/2022,5
07/05/2022,5
08/05/2022,5
09/05/2022,5
10/05/2022,5
11/05/2022,5
12/05/2022,5
13/05/2022,5
14/05/2022,5
15/05/2022,5
16/05/2022,5
17/05/2022,5
18/05/2022,5
19/05/2022,5
20/05/2022,5
21/05/2022,5
22/05/2022,5
23/05/2022,5
24/05/2022,5
25/05/2022,5
26/05/2022,5
27/05/2022,5
28/05/2022,5
29/05/2022,5
30/05/2022,5
31/05/2022,5
01/06/2022,5
02/06/2022,5
03/06/2022,5
04/06/2022,5
05/06/2022,5
06/06/2022,5
07/06/2022,5
08/06/2022,5
09/06/2022,5
10/06/2022,5
11/06/2022,5
12/06/2022,5
13/06/2022,5
14/06/2022,5
15/06/2022,5
16/06/2022,5
17/06/2022,5
18/06/2022,5
19/06/2022,5
20/06/2022,5
21/06/2022,5
22/06/2022,5
23/06/2022,5
24/06/2022,5
25/06/2022,5
26/06/2022,5
27/06/2022,5
28/06/2022,5
29/06/2022,5
30/06/2022,5
01/07/2022,5
02/07/2022,5
03/07/2022,5
04/07/2022,5
05/07/2022,5
06/07/2022,5
07/07/2022,5
08/07/2022,5
09/07/2022,5
10/07/2022,5
11/07/2022,5
12/07/2022,5
13/07/2022,5
14/07/2022,5
15/07/2022,5
16/07/2022,5
17/07/2022,5
18/07/2022,5
19/07/2022,5
20/07/2022,5
21/07/2022,5
22/07/2022,5
23/07/2022,5
24/07/2022,5
25/07/2022,5
26/07/2022,5
27/07/2022,5
28/07/2022,5
29/07/2022,5
30/07/2022,5
31/07/2022,5
01/08/2022,5
02/08/2022,5
03/08/2022,5
04/08/2022,5
05/08/2022,5
06/08/2022,5
07/08/2022,5
08/08/2022,5
09/08/2022,5
10/08/2022,5
11/08/2022,5
12/08/2022,5
13/08/2022,5
14/08/2022,5
15/08/2022,5
16/08/2022,5
17/08/2022,5
18/08/2022,5
19/08/2022,5
20/08/2022,5
21/08/2022,5
22/08/2022,5
23/08/2022,5
24/08/2022,5
25/08/2022,5
26/08/2022,5
27/08/2022,5
28/08/2022,5
29/08/2022,5
30/08/2022,5
31/08/2022,5
01/09/2022,5
02/09/2022,5
03/09/2022,5
04/09/2022,5
05/09/2022,5
06/09/2022,5
07/09/2022,5
08/09/2022,5
09/09/2022,5
10/09/2022,5
11/09/2022,5
12/09/2022,5
13/09/2022,5
14/09/2022,5
15/09/2022,5
16/09/2022,5
17/09/2022,5
18/09/2022,5
19/09/2022,5
20/09/2022,5
21/09/2022,5
22/09/2022,5
23/09/2022,5
24/09/2022,5
25/09/2022,5
26/09/2022,5
27/09/2022,5
28/09/2022,5
29/09/2022,5
30/09/2022,5
01/10/2022,5
02/10/2022,5
03/10/2022,5
04/10/2022,5
05/10/2022,5
06/10/2022,5
07/10/2022,5
08/10/2022,5
09/10/2022,5
10/10/2022,5
11/10/2022,5
12/10/2022,5
13/10/2022,5
14/10/2022,5
15/10/2022,5
16/10/2022,5
17/10/2022,5
18/10/2022,5
19/10/2022,5
20/10/2022,5
21/10/2022,5
22/10/2022,5
23/10/2022,5
24/10/2022,5
25/10/2022,5
26/10/2022,5
27/10/2022,5
28/10/2022,5
29/10/2022,5
30/10/2022,5
31/10/2022,5
01/11/2022,5
02/11/2022,5
03/11/2022,5
04/11/2022,5
05/11/2022,5
06/11/2022,5
07/11/2022,5
08/11/2022,5
09/11/2022,5
10/11/2022,5
11/11/2022,5
12/11/2022,5
13/11/2022,5
14/11/2022,5
15/11/2022,5
16/11/2022,5
17/11/2022,5
18/11/2022,5
19/11/2022,5
20/11/2022,5
21/11/2022,5
22/11/2022,5
23/11/2022,5
24/11/2022,5
25/11/2022,5
26/11/2022,5
27/11/2022,5
28/11/2022,5
29/11/2022,5
30/11/2022,5
01/12/2022,5
02/12/2022,5
03/12/2022,5
04/12/2022,5
05/12/2022,5
06/12/2022,5
07/12/2022,5
08/12/2022,5
09/12/2022,5
10/12/2022,5
11/12/2022,5
12/12/2022,5
13/12/2022,5
14/12/2022,5
15/12/2022,5
16/12/2022,5
17/12/2022,5
18/12/2022,5
19/12/2022,5
20/12/2022,5
21/12/2022,5
22/12/2022,5
23/12/2022,5
24/12/2022,5
25/12/2022,5
26/12/2022,5
27/12/2022,5
28/12/2022,5
29/12/2022,5
30/12/2022,5
31/12/2022,5
01/10/2021,1
28/07/2021,10
29/07/2021,10
30/07/2021,10
31/07/2021,10
01/08/2021,10
02/08/2021,10
03/08/2021,10
04/08/2021,10
05/08/2021,10
06/08/2021,10
07/08/2021,10
08/08/2021,10
09/08/2021,10
10/08/2021,10
11/08/2021,10
12/08/2021,10
13/08/2021,10
14/08/2021,10
15/08/2021,10
16/08/2021,10
17/08/2021,10
18/08/2021,10
19/08/2021,10
20/08/2021,10
21/08/2021,10
22/08/2021,10
23/08/2021,10
24/08/2021,10
25/08/2021,10
26/08/2021,10
27/08/2021,10
28/08/2021,10
29/08/2021,10
30/08/2021,10
31/08/2021,10
01/09/2021,10
02/09/2021,10
03/09/2021,10
04/09/2021,10
05/09/2021,10
06/09/2021,10
07/09/2021,10
08/09/2021,10
09/09/2021,10
10/09/2021,10
11/09/2021,10
12/09/2021,10
13/09/2021,10
14/09/2021,10
15/09/2021,10
16/09/2021,10
17/09/2021,10
18/09/2021,10
19/09/2021,10
20/09/2021,10
21/09/2021,10
22/09/2021,10
23/09/2021,10
24/09/2021,10
25/09/2021,10
26/09/2021,10
27/09/2021,10
28/09/2021,10
29/09/2021,10
30/09/2021,10
01/10/2021,10
02/10/2021,10
03/10/2021,10
04/10/2021,10
05/10/2021,10
06/10/2021,10
07/10/2021,10
08/10/2021,10
09/10/2021,10
10/10/2021,10
11/10/2021,10
12/10/2021,10
13/10/2021,10
14/10/2021,10
15/10/2021,10
16/10/2021,10
17/10/2021,10
18/10/2021,10
19/10/2021,10
20/10/2021,10
21/10/2021,10
22/10/2021,10
23/10/2021,10
24/10/2021,10
25/10/2021,10
26/10/2021,10
27/10/2021,10
28/10/2021,10
29/10/2021,10
30/10/2021,10
31/10/2021,10
01/11/2021,10
02/11/2021,10
03/11/2021,10
04/11/2021,10
05/11/2021,10
06/11/2021,10
07/11/2021,10
08/11/2021,10
09/11/2021,10
10/11/2021,10
11/11/2021,10
12/11/2021,10
13/11/2021,10
14/11/2021,10
15/11/2021,10
16/11/2021,10
17/11/2021,10
18/11/2021,10
19/11/2021,10
20/11/2021,10
21/11/2021,10
22/11/2021,10
23/11/2021,10
24/11/2021,10
25/11/2021,10
26/11/2021,10
27/11/2021,10
28/11/2021,10
29/11/2021,10
30/11/2021,10
01/12/2021,10
02/12/2021,10
03/12/2021,10
04/12/2021,10
05/12/2021,10
06/12/2021,10
07/12/2021,10
08/12/2021,10
09/12/2021,10
10/12/2021,10
11/12/2021,10
12/12/2021,10
13/12/2021,10
14/12/2021,10
15/12/2021,10
16/12/2021,10
17/12/2021,10
18/12/2021,10
19/12/2021,10
20/12/2021,10
21/12/2021,10
22/12/2021,10
23/12/2021,10
24/12/2021,10
25/12/2021,10
26/12/2021,10
27/12/2021,10
28/12/2021,10
29/12/2021,10
30/12/2021,10
31/12/2021,10
01/01/2022,10
02/01/2022,10
03/01/2022,10
04/01/2022,10
05/01/2022,10
06/01/2022,10
07/01/2022,10
08/01/2022,10
09/01/2022,10
10/01/2022,10
11/01/2022,10
12/01/2022,10
13/01/2022,10
14/01/2022,10
15/01/2022,10
16/01/2022,10
17/01/2022,10
18/01/2022,10
19/01/2022,10
20/01/2022,10
21/01/2022,10
22/01/2022,10
23/01/2022,10
24/01/2022,10
25/01/2022,10
26/01/2022,10
27/01/2022,10
28/01/2022,10
29/01/2022,10
30/01/2022,10
31/01/2022,10
01/02/2022,10
02/02/2022,10
03/02/2022,10
04/02/2022,10
05/02/2022,10
06/02/2022,10
07/02/2022,10
08/02/2022,10
09/02/2022,10
10/02/2022,20
11/02/2022,20
12/02/2022,29
13/02/2022,29
14/02/2022,29
15/02/2022,29
16/02/2022,29
17/02/2022,29
18/02/2022,29
19/02/2022,29
20/02/2022,29
21/02/2022,29
22/02/2022,29
23/02/2022,29
24/02/2022,29
25/02/2022,29
26/02/2022,29
27/02/2022,29
28/02/2022,29
01/03/2022,29
02/03/2022,29
03/03/2022,29
04/03/2022,29
05/03/2022,29
06/03/2022,29
07/03/2022,29
08/03/2022,29
09/03/2022,29
10/03/2022,29
11/03/2022,29
12/03/2022,29
13/03/2022,29
14/03/2022,29
15/03/2022,29
16/03/2022,29
17/03/2022,29
18/03/2022,29
19/03/2022,29
20/03/2022,29
21/03/2022,29
22/03/2022,29
23/03/2022,29
24/03/2022,29
25/03/2022,29
26/03/2022,29
27/03/2022,29
28/03/2022,29
29/03/2022,29
30/03/2022,29
31/03/2022,29
01/04/2022,29
02/04/2022,29
03/04/2022,29
04/04/2022,29
05/04/2022,29
06/04/2022,29
07/04/2022,29
08/04/2022,29
09/04/2022,29
10/04/2022,29
11/04/2022,29
12/04/2022,29
13/04/2022,29
14/04/2022,29
15/04/2022,29
16/04/2022,29
17/04/2022,29
18/04/2022,29
19/04/2022,29
20/04/2022,29
21/04/2022,29
22/04/2022,29
23/04/2022,29
24/04/2022,29
25/04/2022,29
26/04/2022,29
27/04/2022,29
28/04/2022,29
29/04/2022,29
30/04/2022,29
01/05/2022,29
02/05/2022,29
03/05/2022,29
04/05/2022,29
05/05/2022,29
06/05/2022,29
07/05/2022,29
08/05/2022,29
09/05/2022,29
10/05/2022,29
11/05/2022,29
12/05/2022,29
13/05/2022,29
14/05/2022,29
15/05/2022,29
16/05/2022,29
17/05/2022,29
18/05/2022,29
19/05/2022,29
20/05/2022,29
21/05/2022,29
22/05/2022,29
23/05/2022,29
24/05/2022,29
25/05/2022,29
26/05/2022,29
27/05/2022,29
28/05/2022,29
29/05/2022,29
30/05/2022,29
31/05/2022,29
01/06/2022,29
02/06/2022,29
03/06/2022,29
04/06/2022,29
05/06/2022,29
06/06/2022,29
07/06/2022,29
08/06/2022,29
09/06/2022,29
10/06/2022,29
11/06/2022,29
12/06/2022,29
13/06/2022,29
14/06/2022,29
15/06/2022,29
16/06/2022,29
17/06/2022,29
18/06/2022,29
19/06/2022,29
20/06/2022,29
21/06/2022,29
22/06/2022,29
23/06/2022,29
24/06/2022,29
25/06/2022,29
26/06/2022,29
27/06/2022,29
28/06/2022,29
29/06/2022,29
30/06/2022,29
01/07/2022,29
02/07/2022,29
03/07/2022,29
04/07/2022,29
05/07/2022,29
06/07/2022,29
07/07/2022,29
08/07/2022,29
09/07/2022,29
10/07/2022,29
11/07/2022,29
12/07/2022,29
13/07/2022,29
14/07/2022,29
15/07/2022,29
16/07/2022,29
17/07/2022,29
18/07/2022,29
19/07/2022,29
20/07/2022,29
21/07/2022,29
22/07/2022,29
23/07/2022,29
24/07/2022,29
25/07/2022,29
26/07/2022,29
27/07/2022,29
28/07/2022,29
29/07/2022,29
30/07/2022,29
31/07/2022,29
01/08/2022,29
02/08/2022,29
03/08/2022,29
04/08/2022,29
05/08/2022,29
06/08/2022,29
07/08/2022,29
08/08/2022,29
09/08/2022,29
10/08/2022,29
11/08/2022,29
12/08/2022,29
13/08/2022,29
14/08/2022,29
15/08/2022,29
16/08/2022,29
17/08/2022,29
18/08/2022,29
19/08/2022,29
20/08/2022,29
21/08/2022,29
22/08/2022,29
23/08/2022,29
24/08/2022,29
25/08/2022,29
26/08/2022,29
27/08/2022,29
28/08/2022,29
29/08/2022,29
30/08/2022,29
31/08/2022,29
01/09/2022,29
02/09/2022,29
03/09/2022,29
04/09/2022,29
05/09/2022,29
06/09/2022,29
07/09/2022,29
08/09/2022,29
09/09/2022,29
10/09/2022,29
11/09/2022,29
12/09/2022,29
13/09/2022,29
14/09/2022,29
15/09/2022,29
16/09/2022,29
17/09/2022,29
18/09/2022,29
19/09/2022,29
20/09/2022,29
21/09/2022,29
22/09/2022,29
23/09/2022,29
24/09/2022,29
25/09/2022,29
26/09/2022,29
27/09/2022,29
28/09/2022,29
29/09/2022,29
30/09/2022,29
01/10/2022,29
02/10/2022,29
03/10/2022,29
04/10/2022,29
05/10/2022,29
06/10/2022,29
07/10/2022,29
08/10/2022,29
09/10/2022,29
10/10/2022,29
11/10/2022,29
12/10/2022,29
13/10/2022,29
14/10/2022,29
15/10/2022,29
16/10/2022,29
17/10/2022,29
18/10/2022,29
19/10/2022,29
20/10/2022,29
21/10/2022,29
22/10/2022,29
23/10/2022,29
24/10/2022,29
25/10/2022,29
26/10/2022,29
27/10/2022,29
28/10/2022,29
29/10/2022,29
30/10/2022,29
31/10/2022,29
01/11/2022,29
02/11/2022,29
03/11/2022,29
04/11/2022,29
05/11/2022,29
06/11/2022,29
07/11/2022,29
08/11/2022,29
09/11/2022,29
10/11/2022,29
11/11/2022,29
12/11/2022,29
13/11/2022,29
14/11/2022,29
15/11/2022,29
16/11/2022,29
17/11/2022,29
18/11/2022,29
19/11/2022,29
20/11/2022,29
21/11/2022,29
22/11/2022,29
23/11/2022,29
24/11/2022,29
25/11/2022,29
26/11/2022,29
27/11/2022,29
28/11/2022,29
29/11/2022,29
30/11/2022,29
01/12/2022,29
02/12/2022,29
03/12/2022,29
04/12/2022,29
05/12/2022,29
06/12/2022,29
07/12/2022,29
